id,name,parentId
508,Pharmacognosy,443
509,Physical fitness,443
510,Aerobics,443
511,Personal fitness training,443
512,Kinesiology,443
513,Physical therapy,443
514,Podiatry,443
515,Primary care,443
516,General practice,443
517,Psychiatry,443
518,Psychology,443
519,Psychosomatic,443
520,Psychotherapy,443
521,Public health,443
522,Radiology,443
523,Recreation therapy,443
524,Rehabilitation medicine,443
525,Respiratory medicine,443
526,Pulmonology,443
527,Sleep medicine,443
528,Respiratory therapy,443
529,Rheumatology,443
530,Sports medicine,443
531,Sterilization,443
532,Surgery,443
533,Bariatric surgery,443
534,Cardiothoracic surgery,443
535,Neurosurgery,443
536,Plastic surgery,443
537,Trauma surgery,443
538,Traumatology,443
539,Traditional medicine,443
540,Therapy,443
541,Urology,443
542,Andrology,443
543,Veterinary medicine,443
544,Anthropology,0
545,Anthropological criminology,544
546,Anthropological linguistics,544
547,Synchronic linguistics,544
548,Diachronic linguistics,544
549,Ethnolinguistics,544
550,Semiotic anthropology,544
551,Sociolinguistics,544
552,Anthrozoology,544
553,Biological anthropology,544
554,Gene-culture coevolution,544
555,Evolutionary anthropology,544
556,Forensic anthropology,544
557,Human behavioral ecology,544
558,Human evolution,544
559,Medical anthropology,544
560,Molecular anthropology,544
561,Neuroanthropology,544
562,Nutritional anthropology,544
563,Paleoanthropology,544
564,Population genetics,544
565,Primatology,544
566,Biocultural anthropology,544
567,Cultural anthropology,544
568,Anthropology of development,544
569,Anthropology of religion,544
570,Applied anthropology,544
571,Cognitive anthropology,544
572,Cyborg anthropology,544
573,Digital anthropology,544
574,Digital culture,544
575,Ecological anthropology,544
576,Economic anthropology,544
577,Environmental anthropology,544
578,Ethnobiology,544
579,Ethnobotany,544
580,Ethnography,544
581,Ethnohistory,544
582,Ethnology,544
583,Ethnomuseology,544
584,Ethnomusicology,544
585,Feminist anthropology,544
586,Folklore,544
587,Kinship,544
588,Legal anthropology,544
589,Mythology,544
590,Missiology,544
591,Political anthropology,544
592,Political economic anthropology,544
593,Psychological anthropology,544
594,Public anthropology,544
595,Symbolic anthropology,544
596,Transpersonal anthropology,544
597,Urban anthropology,544
598,Linguistic anthropology,544
599,Social anthropology,544
600,Anthropology of art,544
601,Anthropology of institutions,544
602,Anthropology of media,544
603,Visual anthropology,544
604,Economics,0
605,Agricultural economics,604
606,Anarchist economics,604
607,Applied economics,604
608,Behavioural economics,604
609,Bioeconomics,604
610,Complexity economics,604
611,Computational economics,604
612,Consumer economics,604
613,Development economics,604
614,Digital economy,604
615,Ecological economics,604
616,Econometrics,604
617,Economic geography,604
618,Economic history,604
619,Economic sector,604
620,Economic sociology,604
621,Economic systems,604
622,Economic value,604
623,Energy economics,604
624,Entrepreneurial economics,604
625,Environmental economics,604
626,Evolutionary economics,604
627,Experimental economics,604
628,Feminist economics,604
629,Financial economics,604
630,Financial econometrics,604
631,Green economics,604
632,Growth economics,604
633,Human development theory,604
634,Industrial organization,604
635,Information economics,604
636,Institutional economics,604
637,International economics,604
638,Islamic economics,604
639,Knowledge economy,604
640,Labor economics,604
641,Law and economics,604
642,Macroeconomics,604
643,Managerial economics,604
644,Market economy,604
645,Marxian economics,604
646,Mathematical economics,604
647,Microeconomics,604
648,Monetary economics,604
649,Neuroeconomics,604
650,Participatory economics,604
651,Political economy,604
652,Public finance,604
653,Public economics,604
654,Real estate economics,604
655,Resource economics,604
656,Social choice theory,604
657,Socialist economics,604
658,Socioeconomics,604
659,Transport economics,604
660,Welfare economics,604
661,Computer sciences,0
662,Theory of computation,661
663,Automata theory,661
664,Computability theory,661
665,Computational complexity theory,661
666,Cryptanalysis,661
667,Cryptography,661
668,Fault-tolerant computing,661
669,Distributed computing,661
670,Grid computing,661
671,Parallel computing,661
672,High-performance computing,661
673,Quantum computing,80
674,Computer graphics,661
675,Image processing,661
676,Programming languages,661
677,Type theory,661
678,Data mining,661
679,Theoretical computer science,661
680,Artificial intelligence,661
681,Automated reasoning,661
682,Machine learning,661
683,Natural language processing,661
684,Computer vision,661
685,Robotics,661
686,Numerical analysis,661
687,Symbolic computation,661
